COMPANY NAME,RATING,REVIEWS,PACKAGE,INDUSTRY,BENEFITS,CONS,INDIA HQ,BRANCHES,TOTAL EMPLOYEES,COMPANY TYPE,YEAR OLD
Courtyard by Marriott,4.1,548,1.1k,Hospitality,"Promotions / Appraisal, Job Security, Work Satisfaction",,Mumbai,41 other locations,1k-5k  ,Public,50 years old
Perficient,3.7,548,4.1k,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Company Culture",,Chennai,11 other locations,501-1k  ,,19 years old
Bharat Biotech International,3.2,548,2.1k,Biotechnology,"Job Security, Salary & Benefits",,Hyderabad / Secunderabad,29 other locations,501-1k  ,Public,41 years old
Toyoda Gosei Minda,4.1,547,1.7k,Auto Components,"Skill Development / Learning, Company Culture",Promotions / Appraisal,Neemrana,25 other locations,1k-5k  ,,18 years old
Capital Numbers Infotech,4.4,546,1.2k,IT Services & Consulting,"Company Culture, Job Security, Skill Development / Learning",,Kolkata,10 other locations,1k-5k  ,,11 years old
Genesys International Corporation,3.4,546,2.5k,IT Services & Consulting,"Company Culture, Job Security, Skill Development / Learning",,Mumbai,16 other locations,1k-5k  ,,11 years old
ZaranTech,1.5,546,105,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture",,Bangalore / Bengaluru,17 other locations,1k-5k  ,Public,40 years old
Wood Group,3.7,546,2.6k,Engineering & Construction,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Chennai,30 other locations,1k-5k  ,,50 years old
Pathkind Diagnostics Private Limited,3.9,544,1.7k,Healthcare,,,New Delhi,95 other locations,51-200  ,,35 years old
Gayatri Projects,3.9,543,1.8k,Engineering & Construction,"Skill Development / Learning, Job Security, Company Culture",,Hyderabad / Secunderabad,71 other locations,  ,,24 years old
InsuranceDekho,3.6,543,1.9k,Internet,"Promotions / Appraisal, Salary & Benefits, Company Culture",,Gurgaon / Gurugram,74 other locations,  ,,28 years old
Levi Strauss & Co.,4.3,543,1.9k,Fashion & Textile,Job Security,Promotions / Appraisal,Bangalore / Bengaluru,80 other locations,1k-5k  ,,23 years old
Damco Solutions,3.8,542,2k,IT Services & Consulting,"Job Security, Work Life Balance, Skill Development / Learning",,Noida,23 other locations,1k-5k  ,Public,51 years old
NLC India Limited,4.4,542,1.1k,Metals & Mining,"Promotions / Appraisal, Job Security, Work Satisfaction",,Neyveli,24 other locations,501-1k  ,Startup,9 years old
Consulting Engineers Group,4.1,542,1.6k,Engineering & Construction,Promotions / Appraisal,,Jaipur,69 other locations,1k-5k  ,,20 years old
Colt Technology Services,4.3,542,3.2k,Hardware & Networking,Promotions / Appraisal,,Gurgaon / Gurugram,13 other locations,1k-5k  ,Public,44 years old
Heidelberg Cement,4.1,542,1.8k,Building Material,"Work Life Balance, Work Satisfaction, Company Culture",,Damoh,75 other locations,1k-5k  ,,14 years old
PTC,4.2,541,3.9k,Software Product,"Job Security, Promotions / Appraisal",,Pune,40 other locations,501-1k  ,Startup,11 years old
Maharashtra State Electricity Distribution Company,4.2,541,1.1k,Power,"Promotions / Appraisal, Salary & Benefits, Company Culture",,Pune,88 other locations,501-1k  ,Public,78 years old
Dhani Healthcare,3.5,540,2.3k,FinTech,"Job Security, Promotions / Appraisal, Work Satisfaction",,Gurgaon / Gurugram,80 other locations,501-1k  ,Startup,6 years old
Bharti Infratel,4.6,540,1.1k,Telecom,"Promotions / Appraisal, Company Culture",,Gurgaon / Gurugram,72 other locations,1k-5k  ,Public,6 years old
Crystal Crop Protection,3.8,540,1.7k,Agro Chemicals,"Promotions / Appraisal, Salary & Benefits, Job Security",,New Delhi,85 other locations,201-500  ,,23 years old
APL Apollo Tubes,4.1,540,1.8k,Iron & Steel,Promotions / Appraisal,,Noida,48 other locations,1k-5k  ,Public,38 years old
Rane Engine Valve Limited,3.8,540,1.9k,Auto Components,"Promotions / Appraisal, Company Culture, Salary & Benefits",,Chennai,16 other locations,1k-5k  ,,68 years old
PureSoftware,3,540,3.5k,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits",,Noida,11 other locations,1k-5k  ,,48 years old
J K Fenner,3.9,540,1.9k,Engineering & Construction,"Promotions / Appraisal, Salary & Benefits",,Chennai,54 other locations,1k-5k  ,,48 years old
Accion Labs,3.4,540,4.6k,IT Services & Consulting,"Skill Development / Learning, Work Life Balance, Company Culture",Promotions / Appraisal,Bangalore / Bengaluru,14 other locations,1k-5k  ,,28 years old
Sigma Engineered Solutions,3.9,540,2.2k,Industrial Machinery,"Promotions / Appraisal, Company Culture, Salary & Benefits",,Pune,13 other locations,1k-5k  ,,68 years old
Toyota Industries Engine India,4.3,539,1.5k,Auto Components,"Promotions / Appraisal, Salary & Benefits",,Bangalore / Bengaluru,14 other locations,501-1k  ,Public,44 years old
Telenor,4.1,539,577,Telecom,"Job Security, Salary & Benefits, Company Culture",,Gurgaon / Gurugram,116 other locations,1k-5k  ,,48 years old
PayU Payments,3.4,540,4k,FinTech,Job Security,"Promotions / Appraisal, Salary & Benefits",Gurgaon / Gurugram,22 other locations,1k-5k  ,,29 years old
Nspira Management Services,3.8,539,2.3k,Management Consulting,"Salary & Benefits, Company Culture, Skill Development / Learning",Job Security,Hyderabad / Secunderabad,53 other locations,501-1k  ,,26 years old
Anmol Industries,3.9,539,1.7k,Food Processing,"Job Security, Promotions / Appraisal, Salary & Benefits",,Kolkata,83 other locations,1k-5k  ,Public,35 years old
CTS Consulting & Technical Support,3.7,538,6.9k,Engineering & Construction,"Work Life Balance, Company Culture, Skill Development / Learning",,Chennai,31 other locations,1k-5k  ,,31 years old
Baker Hughes,4,538,3.9k,Oil & Gas,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Bangalore / Bengaluru,38 other locations,10k-50k  ,,29 years old
Lear Corporation,4,538,2.8k,Auto Components,"Job Security, Skill Development / Learning, Company Culture",,Pune,19 other locations,1k-5k  ,,57 years old
AVIOM,4,539,1.2k,NBFC,"Promotions / Appraisal, Company Culture, Work Satisfaction",,New Delhi,188 other locations,1k-5k  ,Public,42 years old
General Motors,4.1,537,2.1k,Automobile,Job Security,"Promotions / Appraisal, Salary & Benefits",Pune,36 other locations,1k-5k  ,Public,24 years old
Utility Powertech,3.8,537,1.8k,Power,Promotions / Appraisal,,New Delhi,92 other locations,1k-5k  ,,29 years old
Jyothy Laboratories,4.2,537,1.5k,FMCG,"Job Security, Work Satisfaction, Promotions / Appraisal",,Mumbai,127 other locations,201-500  ,,13 years old
Blackrock,3.5,538,6k,Financial Services,"Job Security, Skill Development / Learning",Promotions / Appraisal,Gurgaon / Gurugram,18 other locations,1k-5k  ,,14 years old
Kirloskar Ferrous Industries,3.7,537,1.9k,Iron & Steel,"Skill Development / Learning, Work Life Balance, Company Culture",,Koppal,20 other locations,1k-5k  ,Public,41 years old
Sapiens,3.2,537,5k,Software Product,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,Bangalore / Bengaluru,8 other locations,1k-5k  ,Public,95 years old
Mrs Bector's Food Specialities,3.9,537,1.7k,Food Processing,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,Greater Noida,77 other locations,1k-5k  ,Public,19 years old
Medlife,3.7,536,2.1k,Internet,"Promotions / Appraisal, Job Security, Work Satisfaction",,Bangalore / Bengaluru,28 other locations,1k-5k  ,Startup,11 years old
Pinnacle Infotech,3.4,536,2.7k,IT Services & Consulting,"Company Culture, Job Security, Work Life Balance",,Durgapur,18 other locations,1k-5k   (Global),,9 years old
Eli Lilly and Company,3.7,535,4.1k,Pharma,"Promotions / Appraisal, Job Security, Work Satisfaction",,Bangalore / Bengaluru,18 other locations,1k-5k  ,Startup,11 years old
Action Tesa,4,535,1.2k,Building Material,"Promotions / Appraisal, Work Life Balance, Job Security",,Sitarganj,56 other locations,5k-10k  ,,42 years old
Practo,3,534,3k,Internet,"Work Satisfaction, Salary & Benefits",,Bangalore / Bengaluru,24 other locations,1k-5k  ,,52 years old
Maini Precision Products,3.4,534,2.8k,Auto Components,"Company Culture, Skill Development / Learning, Job Security",,Bangalore / Bengaluru,12 other locations,10k-50k  ,,7 years old
ABIS Exports,3.9,533,1.7k,Food Processing,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Rajnandgaon,109 other locations,1k-5k  ,,109 years old
Prochant,3.9,532,2.1k,Analytics & KPO,"Promotions / Appraisal, Salary & Benefits, Company Culture",,Chennai,9 other locations,1k-5k  ,,21 years old
Innominds Software,3.3,532,4.5k,IT Services & Consulting,"Job Security, Work Life Balance, Skill Development / Learning",,Hyderabad / Secunderabad,7 other locations,1k-5k  ,Public,63 years old
Ascent HR Technologies Private Limited,3.6,531,1.7k,Software Product,"Promotions / Appraisal, Salary & Benefits",,Bangalore / Bengaluru,14 other locations,501-1k  ,,28 years old
Inox Wind,3.7,531,1.7k,Power,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",Noida,41 other locations,1k-5k  ,,90 years old
Unimoni,3.9,531,2.1k,FinTech,"Skill Development / Learning, Company Culture",Promotions / Appraisal,Chennai,131 other locations,1k-5k  ,,16 years old
Pamac Finserve,3.2,531,1.6k,Financial Services,"Job Security, Salary & Benefits","Work Satisfaction, Promotions / Appraisal, Work Life Balance",Mumbai,59 other locations,1k-5k  ,Public,95 years old
Congruex Asia Pacific,3.7,531,2.2k,Engineering & Construction,Job Security,"Promotions / Appraisal, Company Culture, Work Life Balance",Mohali,25 other locations,201-500  ,Public,47 years old
L & W Constructions,3.8,532,1.8k,Engineering & Construction,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Bangalore / Bengaluru,19 other locations,1k-5k  ,,26 years old
Transport Corporation Of India,3.8,530,1.8k,Logistics,Job Security,"Promotions / Appraisal, Salary & Benefits",Gurgaon / Gurugram,80 other locations,1k-5k  ,,32 years old
Vestige,4.3,530,1.4k,Fitness & Wellness,"Promotions / Appraisal, Company Culture, Salary & Benefits",,New Delhi,112 other locations,201-500  ,,29 years old
Renault,4.1,530,1.8k,Automobile,"Skill Development / Learning, Company Culture, Job Security",,Chennai,144 other locations,1k-5k  ,,23 years old
DM Immigration Consultant,1,530,24,Bangalore / Bengaluru +3 other locations,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,,,1k-5k  ,Public,33 years old
CompuCom,3.7,529,3k,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Pune,7 other locations,1k-5k  ,,30 years old
Bajaj Consumer Care,3.8,529,1.5k,FMCG,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Mumbai,110 other locations,1k-5k  ,,8 years old
Hettich,3.8,528,2.3k,Furniture & Furnishing,"Work Life Balance, Skill Development / Learning, Work Satisfaction",,Mumbai,45 other locations,1k-5k  ,,28 years old
Solara Active Pharma Sciences,3.7,529,2.8k,Pharma,"Promotions / Appraisal, Job Security",,Visakhapatnam,18 other locations,1 Lakh+  ,Startup,10 years old
Dr. Reddy's Foundation,3.8,529,1.7k,Non-Profit,"Skill Development / Learning, Job Security, Work Life Balance",,Hyderabad / Secunderabad,88 other locations,201-500  ,,20 years old
McCain Foods,4.1,528,1.5k,Food Processing,"Salary & Benefits, Company Culture, Work Life Balance",,Mehsana,72 other locations,1k-5k  ,Forbes Global 2000,177 years old
BAXY,4,531,2k,Bhiwadi +38 other locations,Promotions / Appraisal,,,,1k-5k  ,,17 years old
Applied Materials,3.8,527,4.3k,Semiconductors,"Work Satisfaction, Promotions / Appraisal, Job Security",,Bangalore / Bengaluru,11 other locations,1k-5k  ,,25 years old
Voyants Solutions,3.8,527,1.6k,Engineering & Construction,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Gurgaon / Gurugram,85 other locations,5k-10k  ,Public,38 years old
Empower,4,528,3.8k,Financial Services,"Job Security, Salary & Benefits, Skill Development / Learning",,Bangalore / Bengaluru,12 other locations,1k-5k  ,,19 years old
Herbalife International,4,528,2.5k,Healthcare,"Job Security, Work Life Balance",Promotions / Appraisal,Bangalore / Bengaluru,83 other locations,1k-5k  ,Public,57 years old
Paras Dairy,3.5,526,1.6k,Food Processing,"Job Security, Work Life Balance, Company Culture",,New Delhi,56 other locations,501-1k  ,Forbes Global 2000,8 years old
Marelli,3.6,525,2.7k,Auto Components,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Gurgaon / Gurugram,18 other locations,5k-10k  ,Public,134 years old
RMC Readymix,3.7,525,1.4k,Building Material,"Work Life Balance, Company Culture, Salary & Benefits",,Mumbai,63 other locations,1k-5k  ,Forbes Global 2000,15 years old
Infiniti Research,3.5,525,1.6k,Bangalore / Bengaluru +7 other locations,"Skill Development / Learning, Company Culture","Job Security, Promotions / Appraisal",,,5k-10k  ,Fortune India 500,39 years old
The Times of India,3.6,524,2.8k,Media & Entertainment,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,New Delhi,53 other locations,5k-10k  ,Fortune India 500,23 years old
Mahendra NextWealth IT,3.4,524,1.7k,IT Services & Consulting,"Salary & Benefits, Promotions / Appraisal, Company Culture",,Salem,25 other locations,1k-5k  ,,28 years old
Cpf India,4,524,1.6k,Food Processing,Promotions / Appraisal,,Bangalore / Bengaluru,57 other locations,501-1k  ,,190 years old
Expleo Group,3.5,524,5.2k,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Pune,9 other locations,1k-5k  ,Public,29 years old
Myk Laticrete,4,524,1.9k,Building Material,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,Hyderabad / Secunderabad,79 other locations,201-500  ,,33 years old
Hi Tech Gears,3.9,523,2.1k,Auto Components,"Work Life Balance, Work Satisfaction, Job Security",,Bhiwadi,27 other locations,10k-50k  ,Fortune India 500,68 years old
OMICS International,2.5,523,1.8k,Printing & Publishing,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,Hyderabad / Secunderabad,6 other locations,1k-5k  ,,19 years old
Quikr,3.5,522,2.2k,Internet,"Job Security, Work Life Balance",,Bangalore / Bengaluru,24 other locations,1k-5k  ,,24 years old
Western Refrigeration,3.8,521,2.1k,Industrial Machinery,Promotions / Appraisal,,Vapi,40 other locations,1k-5k  ,Indian Unicorn,10 years old
RadiSys,3.9,521,2.3k,Telecom,"Promotions / Appraisal, Job Security, Skill Development / Learning",,Bangalore / Bengaluru,11 other locations,1k-5k  ,,17 years old
Navin Fluorine International,3.7,521,2.5k,Chemicals,Job Security,"Promotions / Appraisal, Salary & Benefits",Surat,17 other locations,1k-5k  ,,22 years old
AM Infoweb,3.9,522,1.3k,BPO,"Company Culture, Work Life Balance",Promotions / Appraisal,Pune,8 other locations,1k-5k  ,,26 years old
BLK Super Speciality Hospital,3.9,521,1.4k,Healthcare,"Job Security, Salary & Benefits, Work Life Balance",,New Delhi,15 other locations,501-1k  ,,25 years old
Sandoz,3.9,520,2.2k,Pharma,"Job Security, Skill Development / Learning, Company Culture",,Hyderabad / Secunderabad,20 other locations,1k-5k  ,Public,35 years old
Alcon,3.8,520,2.6k,Medical Equipment,"Salary & Benefits, Work Life Balance",,Bangalore / Bengaluru,37 other locations,,nan, 
Maxgen Technologies,4.6,520,1.1k,IT Services & Consulting,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",Pune,7 other locations,201-500  ,,19 years old
Allianz Services,4.3,520,2.2k,Financial Services,Promotions / Appraisal,,Thiruvananthapuram,12 other locations,1k-5k  ,Public,38 years old
Andritz Hydro Location India,3.8,520,2.6k,Industrial Machinery,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Chennai,28 other locations,5k-10k  ,Public,48 years old
DB Schenker,4.3,519,2.2k,Logistics,Salary & Benefits,"Work Satisfaction, Job Security, Promotions / Appraisal",Gurgaon / Gurugram,38 other locations,1k-5k  ,Public,2024 years old
FiveS Digital,3.5,519,1.4k,BPO,"Promotions / Appraisal, Work Satisfaction",,Jamshedpur,27 other locations,1k-5k  ,Public,204 years old
Yokohama,3.6,519,2k,Auto Components,"Skill Development / Learning, Company Culture, Work Satisfaction",,Bahadurgarh,43 other locations,5k-10k  ,,21 years old
Prestige Group,4.3,519,2.4k,Real Estate,Job Security,Promotions / Appraisal,Bangalore / Bengaluru,30 other locations,501-1k  ,,16 years old
Foray Software,3.4,519,3.6k,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Company Culture",,Hyderabad / Secunderabad,17 other locations,501-1k  ,Public,39 years old
Virtual Employee,3.3,519,3k,Recruitment,"Promotions / Appraisal, Company Culture, Salary & Benefits",,Noida,21 other locations,1k-5k  ,Public,43 years old
Harman Finochem,3.7,518,2.7k,Pharma,"Skill Development / Learning, Company Culture, Salary & Benefits",Promotions / Appraisal,Aurangabad,15 other locations,,nan, 
Craftsman Automation,3.9,518,2.3k,Industrial Machinery,"Company Culture, Job Security, Work Life Balance",,Coimbatore,23 other locations,1k-5k  ,,22 years old
Carlsberg,4,517,1.8k,Beverage,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Gurgaon / Gurugram,63 other locations,1k-5k  ,,45 years old
Carlsberg,4,517,1.8k,Beverage,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Gurgaon / Gurugram,63 other locations,1k-5k  ,Public,34 years old
House Of Anita Dongre,4.2,518,1.5k,Fashion & Textile,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Mumbai,46 other locations,501-1k  ,Public,29 years old
Offshore Infrastructures,4.2,517,1.7k,Engineering & Construction,"Job Security, Promotions / Appraisal, Work Satisfaction",,Mumbai,50 other locations,1k-5k  ,,9 years old
MITS GLOBAL CONSULTING,4.6,517,841,Mumbai +12 other locations,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,,,1k-5k  ,Startup,8 years old
ACTE,4.7,517,99,Education & Training,"Skill Development / Learning, Work Life Balance, Work Satisfaction",,Chennai,10 other locations,201-500  ,,30 years old
Tracxn,3,516,2.4k,Internet,"Promotions / Appraisal, Job Security, Skill Development / Learning",,Bangalore / Bengaluru,11 other locations,501-1k  ,Public,19 years old
BUSINESSNEXT,3.4,516,3.8k,Software Product,"Salary & Benefits, Job Security, Skill Development / Learning",,Noida,9 other locations,1k-5k  ,,9 years old
S P Singla Constructions,3.5,516,1.5k,Engineering & Construction,"Salary & Benefits, Company Culture, Work Life Balance",,Patna,60 other locations,501-1k  ,,28 years old
Stock Holding Corporation of India,3.6,516,1.8k,Financial Services,"Promotions / Appraisal, Salary & Benefits, Job Security",,Mumbai,100 other locations,1k-5k  ,,18 years old
CDK Global,3.8,516,3.4k,IT Services & Consulting,"Work Life Balance, Company Culture, Work Satisfaction",,Hyderabad / Secunderabad,7 other locations,201-500  ,,24 years old
Roop Polymers,4,516,1.8k,Auto Components,Job Security,Work Satisfaction,Gurgaon / Gurugram,24 other locations,1k-5k  ,,33 years old
Eicher Motors,4.1,516,1.5k,Automobile,"Job Security, Work Life Balance, Salary & Benefits",,Indore,91 other locations,1k-5k  ,,58 years old
Systra Consulting,3.9,515,1.5k,Engineering & Construction,"Skill Development / Learning, Work Life Balance",Promotions / Appraisal,New Delhi,39 other locations,10k-50k  ,Public,25 years old
HashedIn by Deloitte,4,516,4.8k,IT Services & Consulting,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal,Bangalore / Bengaluru,16 other locations,201-500  ,Public,44 years old
Kellogg Brown and Root,4.1,515,2.1k,IT Services & Consulting,"Job Security, Company Culture, Work Life Balance",,Chennai,35 other locations,1k-5k  ,,38 years old
RAK Ceramics,3.8,515,1.6k,Building Material,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",Kakinada,55 other locations,1k-5k  ,,28 years old
Paramount Health Services Tpa,3.8,515,2.2k,Insurance,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,Mumbai,36 other locations,1k-5k  ,,31 years old
Sterling Oil Exploration & Energy Production,3.7,515,1.2k,Oil & Gas,"Skill Development / Learning, Salary & Benefits",,Lagos,20 other locations,501-1k  ,,8 years old
Sulzer,3.9,514,2.6k,Industrial Machinery,"Job Security, Work Life Balance",Promotions / Appraisal,Pune,24 other locations,501-1k  ,,38 years old
Ziqitza Health Care,3.8,514,1.1k,Healthcare,"Job Security, Skill Development / Learning, Company Culture",,Mumbai,58 other locations,1k-5k  ,,80 years old
Bharat Fritz Werner,3.9,514,2.3k,Industrial Machinery,"Job Security, Skill Development / Learning, Company Culture",,Bangalore / Bengaluru,18 other locations,1k-5k  ,,80 years old
"DATAMARK, Inc.",3.4,514,1.5k,BPO,Salary & Benefits,,Chennai,13 other locations,1k-5k  ,Public,34 years old
Zolo,3.3,514,2.1k,Internet,"Job Security, Salary & Benefits, Promotions / Appraisal",,Bangalore / Bengaluru,24 other locations,10k-50k  ,Public,113 years old
RuralShores,3.7,513,1.1k,BPO,"Company Culture, Work Life Balance, Job Security",,Bangalore / Bengaluru,46 other locations,1k-5k  ,,28 years old
Kirloskar Pneumatic,4,513,2.5k,Industrial Machinery,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",Pune,19 other locations,501-1k  ,Public,39 years old
Aurionpro Solutions,3.5,515,3.3k,Software Product,Skill Development / Learning,Job Security,Mumbai,46 other locations,1k-5k  ,,266 years old
EC-Council,4.1,513,2.4k,EdTech,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Hyderabad / Secunderabad,18 other locations,1 Lakh+  ,Public,170 years old
JoulestoWatts Business Solutions,2.9,513,3.1k,IT Services & Consulting,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Bangalore / Bengaluru,15 other locations,1k-5k  ,Public,96 years old
Wabtec,3.9,514,3.1k,Auto Components,"Company Culture, Work Life Balance, Salary & Benefits",,Bangalore / Bengaluru,25 other locations,1k-5k  ,,32 years old
UTL Solar,3.6,513,1.6k,Power,"Work Life Balance, Promotions / Appraisal, Company Culture",,New Delhi,68 other locations,1k-5k  ,,7 years old
Karvy Data Management Services,3.9,512,2.2k,Analytics & KPO,"Company Culture, Work Life Balance, Work Satisfaction",,Hyderabad / Secunderabad,80 other locations,501-1k  ,MNC,22 years old
Kidzee,3.8,512,1.1k,EdTech,"Promotions / Appraisal, Job Security, Salary & Benefits",,Kolkata,116 other locations,201-500  ,,23 years old
Ge India Industrial,4.2,511,2k,Industrial Machinery,"Salary & Benefits, Promotions / Appraisal",,Pune,21 other locations,1k-5k  ,,42 years old
Orra Fine Jewellery,3.4,511,1.6k,Retail,Promotions / Appraisal,,Mumbai,50 other locations,1k-5k  ,,16 years old
Mr Cooper,4,511,3k,Financial Services,"Promotions / Appraisal, Work Satisfaction, Job Security",,Chennai,11 other locations,1k-5k  ,, 
Sterling,3.9,510,1k,Healthcare,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Mumbai,62 other locations,1k-5k  ,,29 years old
Dusters Total Solutions Services,3.8,510,1.5k,Facility Management Services,"Promotions / Appraisal, Job Security, Work Life Balance",,Bangalore / Bengaluru,61 other locations,1k-5k  ,,13 years old
Capital Business Systems,3.7,509,1.5k,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,New Delhi,105 other locations,1k-5k  ,,172 years old
HUDL,3.2,510,1.8k,Software Product,"Promotions / Appraisal, Work Satisfaction",,Mumbai,15 other locations,1k-5k  ,Public,62 years old
Datamatics Business Solutions,3.3,509,2.4k,Management Consulting,"Work Life Balance, Salary & Benefits, Company Culture",,Mumbai,12 other locations,1k-5k  ,,112 years old
Mecon,3.9,508,1.7k,Metals & Mining,"Job Security, Company Culture, Skill Development / Learning",,Ranchi,48 other locations,1k-5k  ,,27 years old
Kiya.ai,3.5,508,4.1k,Emerging Technologies,"Promotions / Appraisal, Work Satisfaction",,Mumbai,17 other locations,1k-5k  ,,7 years old
Canon,3.9,508,2k,Consumer Electronics & Appliances,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",Gurgaon / Gurugram,66 other locations,1k-5k  ,,15 years old
Laxmi Organic Industries,4,508,1.9k,Chemicals,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,Mahad,17 other locations,1k-5k  ,Forbes Global 2000,29 years old
Jaipur Rugs,4.3,507,806,Fashion & Textile,"Company Culture, Job Security, Work Life Balance",,Jaipur,20 other locations,501-1k  ,Public,32 years old
ArcelorMittal,4.1,507,2.5k,Iron & Steel,"Work Life Balance, Company Culture, Work Satisfaction",,Surat,48 other locations,1k-5k  ,Public,40 years old
Reliance Life Sciences,3.6,508,2.5k,Clinical Research,"Skill Development / Learning, Salary & Benefits, Company Culture",,Mumbai,34 other locations,5k-10k  ,,9 years old
Celebi Aviation Holding,3.8,507,899,Aviation,"Company Culture, Work Satisfaction, Work Life Balance",,Mumbai,15 other locations,10k-50k  ,,58 years old
Apitoria Pharma,4.2,506,619,Pharma,"Company Culture, Job Security, Skill Development / Learning",Promotions / Appraisal,Hyderabad / Secunderabad,12 other locations,1k-5k  ,Forbes Global 2000,20 years old
Exicom,4,506,2.4k,Semiconductors,Job Security,,Gurgaon / Gurugram,26 other locations,1k-5k  ,,29 years old
LendingKart,3.5,506,2.6k,NBFC,"Job Security, Company Culture, Work Life Balance",,Ahmedabad,44 other locations,1k-5k  ,,33 years old
Titan Engineering & Automation,3.8,506,2.5k,Industrial Automation,"Work Life Balance, Job Security, Company Culture",,Hosur,15 other locations,1k-5k  ,Public,41 years old
Wellness Forever Medicare,3.8,506,1.6k,Retail,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,Mumbai,41 other locations,501-1k  ,,19 years old
JK Tech,3.6,505,3.3k,IT Services & Consulting,Promotions / Appraisal,,Bangalore / Bengaluru,20 other locations,1k-5k  ,,28 years old
ATS Infrastructure,4,505,1.8k,Real Estate,Job Security,Promotions / Appraisal,Noida,13 other locations,1k-5k  ,,107 years old
SIS Prosegur Holdings,3.4,505,1.3k,Law Enforcement & Security,"Promotions / Appraisal, Job Security, Salary & Benefits",,New Delhi,85 other locations,51-200  ,,28 years old
Groupm Media,3.8,505,3.7k,Marketing & Advertising,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",Gurgaon / Gurugram,26 other locations,1k-5k  ,Public,36 years old
N.C.L. Industries,3.8,505,1.6k,Building Material,"Skill Development / Learning, Company Culture, Work Life Balance",,Hyderabad / Secunderabad,67 other locations,51-200  ,,18 years old
Vimta Labs,3.4,504,2k,Clinical Research,"Promotions / Appraisal, Work Satisfaction, Job Security",,Hyderabad / Secunderabad,29 other locations,5k-10k  ,Public,68 years old
CARE,4.2,504,1.2k,Non-Profit,"Promotions / Appraisal, Work Satisfaction",,Patna,113 other locations,1k-5k  ,,84 years old
CARE,4.2,504,1.2k,Non-Profit,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",,Patna,113 other locations,201-500  ,Public,38 years old
Maharashtra Seamless,3.3,504,1.9k,Building Material,Promotions / Appraisal,,Mumbai,25 other locations,1k-5k  ,,21 years old
The Saraswat Co-operative Bank,3.3,504,2.6k,Banking,Work Life Balance,,Mumbai,34 other locations,5k-10k  ,,57 years old
GSPANN Technologies,4.1,503,3.3k,IT Services & Consulting,"Company Culture, Work Life Balance",Promotions / Appraisal,Hyderabad / Secunderabad,9 other locations,1k-5k  ,,73 years old
Iron Mountain Inc,3.8,504,2.8k,IT Services & Consulting,"Company Culture, Skill Development / Learning, Job Security",,Bangalore / Bengaluru,43 other locations,1k-5k  ,Conglomerate,34 years old
Fena,4.2,503,1.4k,FMCG,Job Security,"Promotions / Appraisal, Salary & Benefits",New Delhi,81 other locations,1k-5k  ,Public,19 years old
Scaler Academy,3.5,503,2.3k,EdTech,"Work Life Balance, Company Culture, Work Satisfaction",,Bangalore / Bengaluru,7 other locations,201-500  ,Startup,2 years old
