COMPANY NAME,RATING,REVIEWS,PACKAGE,INDUSTRY,BENEFITS,CONS,INDIA HQ,BRANCHES,TOTAL EMPLOYEES,COMPANY TYPE,YEAR OLD
Government of Maharashtra,3.9,261,1.6k,Government,"Job Security, Work Life Balance, Salary & Benefits",,Mumbai,57 other locations,1k-5k  ,Public,22 years old
Supermax Personal Care,3.7,261,944,Beauty & Personal Care,Job Security,"Promotions / Appraisal, Salary & Benefits",Mumbai,47 other locations,1 Lakh+  ,,77 years old
Liugong India,3.3,262,1.2k,Engineering & Construction,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,Indore,19 other locations,1k-5k  ,,55 years old
Inventys Research,4,261,761,Chemicals,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Nagpur,5 other locations,1k-5k  ,,28 years old
Don Bosco School,3.4,261,568,Education & Training,Skill Development / Learning,Promotions / Appraisal,Mumbai,62 other locations,51-200  ,Public,56 years old
Konica Minolta Business Solutions India Pvt. Ltd.,3.9,261,1.1k,Consumer Electronics & Appliances,"Work Life Balance, Company Culture, Work Satisfaction",,Gurgaon / Gurugram,31 other locations,10k-50k  ,, 
VXI Global Solutions,3.5,261,734,BPO,"Salary & Benefits, Company Culture, Promotions / Appraisal",,Hyderabad / Secunderabad,5 other locations,  ,Public,55 years old
Suresh Surana & Associates,3.2,262,969,Accounting & Auditing,"Promotions / Appraisal, Salary & Benefits, Company Culture",,Mumbai,16 other locations,201-500  ,,25 years old
Ahana Systems & Solutions,3.8,261,1.4k,IT Services & Consulting,"Job Security, Skill Development / Learning, Company Culture",,Bangalore / Bengaluru,18 other locations,,nan, 
Sonalika Group of Companies,3.8,261,1.3k,Automobile,,,Hoshiarpur,42 other locations,51-200  ,,21 years old
RM Education Solutions,3.4,260,1.7k,IT Services & Consulting,"Company Culture, Work Life Balance, Job Security",,Thiruvananthapuram,11 other locations,501-1k  ,,63 years old
Unitech,3.5,260,1.1k,Real Estate,"Skill Development / Learning, Company Culture, Work Life Balance",,Gurgaon / Gurugram,27 other locations,,nan, 
Wika Instruments India,4,260,1.1k,Industrial Machinery,"Skill Development / Learning, Work Life Balance",,Pune,13 other locations,501-1k  ,,55 years old
Gawar Construction,4,260,811,Engineering & Construction,"Work Life Balance, Company Culture, Job Security",,New Delhi,37 other locations,201-500  ,,15 years old
Reliance Securities,3.9,260,782,Financial Services,"Job Security, Promotions / Appraisal, Work Satisfaction",,Mumbai,51 other locations,501-1k  ,,14 years old
Qualys,3.7,260,2.1k,IT Services & Consulting,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Pune,4 other locations,501-1k  ,,24 years old
ARCIS e Services,3.8,260,694,BPO,"Skill Development / Learning, Work Life Balance, Salary & Benefits",,Gurgaon / Gurugram,11 other locations,  ,,11 years old
Indo Amines,3,260,1.4k,Chemicals,"Promotions / Appraisal, Job Security, Company Culture",,Mumbai,14 other locations,501-1k  ,,18 years old
STYLAM Industries,3.5,260,1.1k,Engineering & Construction,"Promotions / Appraisal, Salary & Benefits",,Chandigarh,32 other locations,501-1k  ,Public,57 years old
Southern Petrochemical Industries Corporation,3.7,260,1.4k,Agro Chemicals,"Work Life Balance, Company Culture, Job Security",,Thoothukudi,18 other locations,1k-5k  ,Public,60 years old
Gupshup,2.9,260,1.8k,Software Product,"Salary & Benefits, Company Culture, Promotions / Appraisal",,Mumbai,11 other locations,501-1k  ,,18 years old
GIVA Jewellery,3.1,261,826,Bangalore / Bengaluru +22 other locations,"Job Security, Promotions / Appraisal, Salary & Benefits",,,,201-500  ,,25 years old
Walking Tree,3.3,261,1.3k,IT Services & Consulting,Work Life Balance,"Job Security, Skill Development / Learning, Promotions / Appraisal",Hyderabad / Secunderabad,12 other locations,501-1k  ,,21 years old
Venkateshwar Hospital,3.4,260,973,Healthcare,"Skill Development / Learning, Job Security, Company Culture",,New Delhi,11 other locations,201-500  ,Public,42 years old
Belstar Investment and Finance,4.2,260,757,Investment Banking / Venture Capital / Private Equity,"Work Life Balance, Company Culture, Work Satisfaction",,Chennai,104 other locations,01-10-2025 00:00,,8 years old
Puzzolana Machinery Fabricators,4.1,260,873,Industrial Machinery,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,Hyderabad / Secunderabad,14 other locations,10k-50k   (Global),,64 years old
Nippon Audiotronix,3.5,260,1.1k,Automobile,"Company Culture, Job Security, Work Life Balance",,Gurgaon / Gurugram,15 other locations,1k-5k  ,,17 years old
Total Environment Building Systems,4,259,1.4k,Real Estate,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",Bangalore / Bengaluru,5 other locations,Navi Mumbai +7 more,nan, 
J.M Baxi & Co,3.9,259,1.1k,Ports & Shipping,"Company Culture, Skill Development / Learning, Work Life Balance",,Mumbai,25 other locations,201-500  ,,6 years old
Noida Power Company,4.3,259,1.1k,Power,"Skill Development / Learning, Job Security, Company Culture",,Greater Noida,11 other locations,51-200  ,, 
Dee Vee Projects,3.7,260,849,Engineering & Construction,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",Raipur,38 other locations,501-1k  ,Public,9 years old
Bajaj Hindusthan,4.3,259,825,Food Processing,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",,Lucknow,20 other locations,501-1k  ,,9 years old
KiwiTech,3.7,259,1.5k,IT Services & Consulting,"Company Culture, Job Security, Work Life Balance",,Noida,4 other locations,1k-5k  ,,38 years old
OSB India,3.7,259,1k,Financial Services,"Work Life Balance, Job Security, Company Culture",,Bangalore / Bengaluru,4 other locations,1k-5k  ,,153 years old
HyFun Foods,4.2,260,1.1k,Food Processing,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",Ahmedabad,19 other locations,1k-5k  ,,36 years old
Sanmarg Projects,4.1,259,879,Oil & Gas,"Promotions / Appraisal, Salary & Benefits",,Noida,54 other locations,501-1k  ,,15 years old
